"id","year","degree","strength","eigen","mat","end","start","death","DeathYear","BirthYear","matSize","HRO2","LifetimeE","LifetimeN","centroid","strength2"
"SUL94",2004,72,0.00523376507336634,0.0511717209896429,15,11,10,0,2006,1994,-0.065548202717533,0.529724646961123,1376.66027560542,8043.47230794949,4710.06629177746,"mean"
"SUL94",2005,60,-0.158411177770323,0.0459624710185439,11,12,11,0,2006,1994,0.232282465940774,0.515243590054722,1376.6640644215,8043.31377056901,4709.98891749526,"mean"
"SUL94",2006,55,-0.408404901746284,0.10972831349018,11,12.5,12,1,2006,1994,0.679028468928235,0.513221803184366,1374.41316151315,8044.94389348513,4709.67852749914,"mean"
"SUL96",1999,39,-1.55691510355857,0.0181432697657903,18,3.5,3,1,1999,1996,-1.10795554302161,0.444414940562682,1376.52048669809,8047.90658338874,4712.21353504341,"1st Qu."
"SUN93",1996,88,-0.0383310845450677,0.292902626439953,15,4,3,0,2009,1993,0.976859137586543,0.649832588946603,1364.60038048271,8027.34198511587,4695.97118279929,"mean"
"SUN93",1997,71,0.810634132427776,0.425741187089342,16,5,4,0,2009,1993,0.827943803257389,0.616998768312426,1364.13792982071,8028.11341935636,4696.12567458853,"3rd Qu."
"SUN93",1998,108,1.34704040433305,0.623906245730863,20,6,5,0,2009,1993,NA,0.672319675480837,1363.72735133741,8029.30960117894,4696.51847625817,"3rd Qu."
"SUN93",1999,91,0.109007259412469,0.116593613131816,22,7,6,0,2009,1993,0.232282465940774,0.623318695509692,1364.37805110347,8026.93290965403,4695.65548037875,"mean"
"SUN93",2000,65,-0.0306805995742908,0.103645915814642,21,8,7,0,2009,1993,0.827943803257389,0.548027670203247,1362.98013088511,8023.86823622832,4693.42418355671,"mean"
"SUN93",2001,104,1.25818326878377,0.538029829942378,24,9,8,0,2009,1993,0.827943803257389,0.637483773109501,1363.21193195744,8027.14774338833,4695.17983767289,"3rd Qu."
"SUN93",2002,107,0.468289914000249,0.384107290286248,22,10,9,0,2009,1993,0.381197800269928,0.631867867028757,1363.74847285601,8024.97374363332,4694.36110824466,"mean"
"SUN93",2003,82,0.331382828704404,0.419368200388269,23,11,10,0,2009,1993,0.827943803257389,0.550479166358262,1364.45064682259,8020.54238786474,4692.49651734367,"mean"
"SUN93",2004,77,0.186412968987802,0.240420603859107,22,12,11,0,2009,1993,0.381197800269928,0.612625653177761,1364.4225650803,8021.78522211487,4693.10389359758,"mean"
"SUN93",2005,103,0.310266181001395,0.336771769774491,23,13,12,0,2009,1993,0.679028468928235,0.626635654730874,1364.30264564172,8019.76894556917,4692.03579560545,"mean"
"SUN93",2006,106,0.634120259460735,0.362502410401578,21,14,13,0,2009,1993,0.381197800269928,0.599041299230089,1362.16358019859,8020.74992582002,4691.45675300931,"3rd Qu."
"SUN93",2007,75,0.0757275988438842,0.231602035654,21,15,14,0,2009,1993,0.530113134599082,0.597273414593856,1364.3070356478,8020.57461340242,4692.44082452511,"mean"
"SUN93",2008,70,-0.0695704620659598,0.19897342900246,25,16,15,0,2009,1993,0.530113134599082,0.623901670694191,1363.06186450785,8023.45214627078,4693.25700538931,"mean"
"SUR87",1993,56,-0.446838428329746,0.0882259085028005,21,7,6,0,2007,1987,0.232282465940774,0.452584439227254,1362.19978231459,8012.83063998367,4687.51521114913,"mean"
"SUR87",1994,87,-0.630569031475524,0.0945316320126367,24,8,7,0,2007,1987,0.827943803257389,0.54430569923882,1362.8686174951,8013.80911260539,4688.33886505024,"mean"
"SUR87",1995,64,-0.468352503117508,0.206840107162579,23,9,8,0,2007,1987,0.381197800269928,0.538126835921208,1362.88247196761,8016.07602397433,4689.47924797097,"mean"
"SUR87",1996,69,-0.0974144268611426,0.206401954363076,25,10,9,0,2007,1987,0.976859137586543,0.636472082771442,1364.34511360045,8020.92221781038,4692.63366570542,"mean"
"SUR87",1997,63,-0.119622003125662,0.184995842494129,28,11,10,0,2007,1987,NA,0.518347790804853,1362.70768580598,8014.3908566128,4688.54927120939,"mean"
"SUR87",1998,77,0.0201533970607009,0.216888025380571,28,12,11,0,2007,1987,0.976859137586543,0.529017628783953,1363.48170983633,8016.67132971267,4690.0765197745,"mean"
"SUR87",1999,94,-0.127137599117702,0.0765505511213664,28,13,12,0,2007,1987,0.530113134599082,0.545240666058831,1361.63110319811,8019.67943748093,4690.65527033952,"mean"
"SUR87",2000,62,-1.15847123398607,0.0467249593447531,22,14,13,0,2007,1987,0.381197800269928,0.375444208307878,1364.42061899926,8014.74929690099,4689.58495795013,"mean"
"SUR87",2001,63,-0.710954287043815,0.152061300093661,18,15,14,0,2007,1987,0.827943803257389,0.503360885557243,1363.38584559908,8014.93901093628,4689.16242826768,"mean"
"SUR87",2002,57,-0.391448902468357,0.117367237643069,17,16,15,0,2007,1987,0.976859137586543,0.44196541271802,1363.07282936116,8012.91613639768,4687.99448287942,"mean"
"SUR87",2003,62,-0.848348507416691,0.161732790118502,16,17,16,0,2007,1987,NA,0.545253358052054,1362.52353578586,8014.20723348151,4688.36538463369,"mean"
"SUR87",2004,44,-1.17166427131591,0.061305007053003,17,18,17,0,2007,1987,0.827943803257389,0.302122960742732,1362.16088868176,8010.64855764459,4686.40472316317,"mean"
"SUR87",2005,68,-0.675455327818262,0.126058161839051,9,19,18,0,2007,1987,NA,0.441003602977895,1363.25722751218,8012.35809164807,4687.80765958012,"mean"
"SUR87",2006,55,-0.629455781787812,0.125875251180331,9,20,19,0,2007,1987,NA,0.426764294163482,1362.6513062415,8011.95396989385,4687.30263806768,"mean"
"SWI88",1993,110,0.846590425377826,0.135233525501325,13,6,5,0,2003,1988,0.232282465940774,0.58638071289679,1376.54519817419,8043.35334096064,4709.94926956742,"3rd Qu."
"SWI88",1994,58,0.213390461781197,0.0382834961312382,14,7,6,0,2003,1988,0.827943803257389,0.552612656328216,1377.10362404146,8042.61502752892,4709.85932578519,"mean"
"SWI88",1995,45,-0.502978050872049,0.0425594779681033,16,8,7,0,2003,1988,0.827943803257389,0.53892128955594,1376.59962318403,8042.24837252039,4709.42399785221,"mean"
"SWI88",1996,53,-0.134528625446933,0.0451377487319217,18,9,8,0,2003,1988,0.530113134599082,0.496620575981244,1376.42030420391,8043.4229428586,4709.92162353125,"mean"
"SWI88",1997,50,0.0215620904946111,0.0359201754991842,18,10,9,0,2003,1988,0.232282465940774,0.527683967112677,1378.25805842561,8042.17842758028,4710.21824300295,"mean"
"SWI88",1998,87,0.712946329941957,0.0870357990905665,22,11,10,0,2003,1988,0.679028468928235,0.570363154090075,1376.74696729103,8043.87452694521,4710.31074711812,"3rd Qu."
"SWI88",1999,93,1.07228734952482,0.0697485562234021,18,12,11,0,2003,1988,-1.10795554302161,0.550085305513445,1376.84642357144,8043.72964511839,4710.28803434491,"3rd Qu."
"SWI88",2000,65,0.93245869729083,0.039381008185593,19,13,12,0,2003,1988,0.679028468928235,0.547125973767627,1374.70886284519,8044.24106521124,4709.47496402821,"3rd Qu."
"SWI88",2001,76,0.49320940865812,0.113590699404747,17,14,13,0,2003,1988,0.232282465940774,0.545411028475604,1376.23276389167,8043.8996289646,4710.06619642814,"3rd Qu."
"SWI88",2002,66,1.79824466473034,0.137922219880238,14,15,14,0,2003,1988,-0.065548202717533,0.528352732163601,1376.06885852271,8041.69857103561,4708.88371477916,"3rd Qu."
"SWI88",2003,37,-1.74666873017272,0.0569261757282513,15,15.5,15,1,2003,1988,0.679028468928235,0.479594362045167,1377.42890657019,8046.89606278514,4712.16248467766,"1st Qu."
"SWT11",2014,61,-1.07463553395253,0.222963729659391,8,4,3,0,NA,2011,0.0833671316116207,0.724126839447715,1359.9479721114,8032.79720406672,4696.37258808906,"mean"
"SWT11",2015,69,-0.868793515709725,0.243804902944128,7,5,4,0,NA,2011,0.381197800269928,0.669194178454542,1364.40733579546,8029.9711969347,4697.18926636508,"mean"
"SWT11",2016,45,-0.78888965500609,0.25634202737381,6,6,5,0,NA,2011,0.827943803257389,0.582868471551604,1358.61740909815,8026.66429404486,4692.6408515715,"mean"
"SYC91",1994,87,0.701446041895639,0.457641537507309,16,4,3,0,2008,1991,NA,0.670094747214758,1362.595216973,8033.10225965592,4697.84873831446,"3rd Qu."
"SYC91",1995,81,0.458551200274763,0.680368509377977,18,5,4,0,2008,1991,-0.065548202717533,0.653608740923625,1362.18190225543,8031.69777588069,4696.93983906806,"mean"
