"","ego","ego.birth","ego.mom","ego.survived.frist.year","mom.degree","mom.strength","mom.eigen","mom.obs","matSize","id","HRO2","LifetimeE","LifetimeN","centroid","year","matriline"
"CED02","MAP06",2006,"CED02",0,-0.623083172788606,-1.41215955730593,-0.805658282867292,13,1.834204928326,"CED02",-1.1079653853668,-0.519783864085092,-1.76409944611558,4688.52006132972,2006,"147"
"CED021","MAP07",2007,"CED02",1,-0.657232568045002,-1.21873083968881,-0.804043735431078,21,2.50727756508879,"CED02",-0.699446681045745,-0.378923849899858,-1.98466668885477,4687.76884985429,2007,"147"
"MAW83","MAR93",1993,"MAW83",1,-0.144991639199058,0.772870588464984,-0.759062108028977,51,-0.858085618725138,"MAW83",-0.848057057035197,1.83985544947703,0.861998243168742,4711.23277424057,1993,"153"
"MAW831","MAR94",1994,"MAW83",0,-0.58893377753221,0.373950336802182,-0.963856511991661,48,-0.521549300343746,"MAW83",-1.19393235327939,1.92222841850956,0.921931455293815,4711.8484079678,1994,"153"
"MAW832","MAR95",1995,"MAW83",1,-0.896278334839776,-0.202100245672798,-0.965746627547029,50,-0.454242036667467,"MAW83",-0.46530061523884,1.57019854120981,0.768697270094469,4709.79201437694,1995,"153"
"MAW833","MAR96",1996,"MAW83",0,-0.793830149070587,0.0652327502237663,-0.960715960601566,53,-0.185012981962353,"MAW83",-1.47195855736365,1.7538287976253,0.902479702168361,4711.1654015169,1996,"153"
"MAW834","MAR97",1997,"MAW83",1,-1.13532410163455,0.170455375232109,-1.0054313434038,31,-0.252320245638632,"MAW83",-1.2429100412311,1.7767015260356,0.900014302402763,4711.22965005455,1997,"153"
"TUR85","MAS94",1994,"TUR85",0,0.98193840426202,0.439632600212642,-0.345004948347467,36,0.15152333641904,"TUR85",0.291402150364414,-0.176067917389907,-1.40706452173386,4691.68613618945,1994,"133"
"TUR851","MAS96",1996,"TUR85",0,0.196502313364905,0.483073098189171,-0.251068172503558,39,0.488059654800432,"TUR85",0.0576071426757438,-0.32116357413615,-1.42589241080838,4691.08609984261,1996,"133"
"TUR852","MAS97",1997,"TUR85",0,-0.691381963301398,-0.310733354618429,-0.345918043652786,23,0.622674182152989,"TUR85",0.460228169914113,-0.224475201619684,-1.02862727083811,4693.63424851219,1997,"133"
"TUR853","MAS99",1999,"TUR85",1,0.742892637467246,-0.0861150990615697,-0.811110082322494,35,0.622674182152989,"TUR85",-0.202494531851958,-0.328683298643436,-1.38409710183243,4691.29383935833,1999,"133"
"MAR89","MAT04",2004,"MAR89",0,0.128203522852112,0.269039445364076,-0.933925279534292,53,-0.117705718286075,"MAR89",-0.482769453778335,1.25971052155982,0.949696449014323,4709.74369854947,2004,"153"
"MAR891","MAT94",1994,"MAR89",0,-0.691381963301398,0.0971379307710276,-0.97770176875347,46,-0.521549300343746,"MAR89",-0.521362710086252,1.61054426792536,0.741685906871945,4709.77879421469,1994,"153"
"MAR892","MAT96",1996,"MAR89",0,-0.759680753814191,0.0996663541808391,-0.956994477251015,54,-0.185012981962353,"MAR89",-0.936868847266391,1.67346631741572,0.707206713814076,4709.80087764309,1996,"153"
"MAR893","MAT98",1998,"MAR89",0,-0.725531358557795,0.816881522127022,-0.892378606489686,47,-0.050398454609796,"MAR89",-0.3075608444314,1.43849528755019,0.939627125524126,4710.29727926284,1998,"153"
"VIN93","MAY96",1996,"VIN93",0,-1.23777228740374,-1.26967030828126,-0.91091794493619,8,0.488059654800432,"VIN93",-0.814482703959816,-0.927727198572464,-1.91765189263954,4686.27117795142,1996,"133"
"WAL06","MCD10",2010,"WAL06",0,-0.623083172788606,-0.675128781102648,-0.72641712414553,46,2.30535577405995,"WAL06",0.516139745014428,0.733770940541079,0.717368714529791,4706.65246008745,2010,"147"
"WAL061","MCD11",2011,"WAL06",0,-0.623083172788606,-0.365567049135346,-0.435678866280141,50,2.17074124670739,"WAL06",0.520410056709729,0.474378078241637,0.863114156368127,4706.58156278312,2011,"147"
"WAL062","MCD13",2013,"WAL06",1,-0.623083172788606,-0.528639547794166,-0.564491123265352,46,1.63228313729717,"WAL06",0.661158094222869,0.521752666311593,0.843643260312803,4706.63442357835,2013,"147"
"WAL063","MCD16",2016,"WAL06",0,0.298950499134094,-0.120887571071888,0.0617813860232262,44,0.218830600095318,"WAL06",0.768531238751024,0.207847209668825,0.79781705696544,4705.30784114744,2016,"147"
"WAL064","MCD17",2017,"WAL06",0,-0.21329042971185,-0.522779131847008,-0.617540196584702,48,-0.252320245638632,"WAL06",0.318364280887509,0.458766339677711,0.944290227825069,4706.98160680722,2017,"147"
"PPL11","MCQ17",2017,"PPL11",0,-1.40851926368572,-1.19890994126213,-0.858077389009369,3,-1.32923646445909,NA,NA,NA,NA,NA,NA,"144"
"MNG09","MCU12",2012,"MNG09",1,-0.247439824968247,-0.564050662967962,-0.550489979355949,18,-0.386934772991189,"MNG09",0.712589199746214,-0.440036434860278,-0.42698818105492,4696.25859934552,2012,"138"
"MNG091","MCU14",2014,"MNG09",0,-1.27192168266014,-1.16692893871775,-0.77253778366982,20,-0.521549300343746,"MNG09",-0.140436985851958,-0.161108619833388,-1.28406986943741,4692.42397167224,2014,"138"
"MNG092","MCU16",2016,"MNG09",0,-1.54511684471131,-1.40693553630682,-1.03863701354874,25,-0.656163827696303,"MNG09",-2.42709051920028,-0.335028626447199,-2.37617563474852,4685.73235421335,2016,"138"
