"","id","lifespan","sum_degree","sum_strength","sum_eigen","mean_mat","mean_matSize","mean_HRO","mean_N","mean_E","matriline","LRS","LBS","mean.grp.size","matSize"
"161","FDL00",15,1016,170.515667735869,8.67466817237592,11.7692307692308,74,0.649771920408026,8038.64279405043,1358.67262926155,"137",3,8,26.0813253012048,14.8888888888889
"162","FDL03",13,931,155.207303062439,7.81497444845065,11.2727272727273,74,0.666282733133214,8037.64532560848,1359.25645262982,"137",2,5,23.7014925373134,18
"163","FDL96",8,534,91.0850329819421,3.47122574624871,10.8333333333333,74,0.638695864517289,8037.5423333658,1359.53744788863,"137",0,2,NA,33.6666666666667
"164","FDL99",17,1134,178.22868494163,8.47325494032456,11.7142857142857,74.1,0.661321039268679,8038.11027653769,1359.12265727438,"137",4,9,24.8152866242038,15.1
"165","FEA94",8,366,67.0874968474213,0.396608843906113,18,71.6,0.614228998817453,8043.18863461483,1373.58830850208,"151",0,2,11.3414634146341,43.3333333333333
"166","FEA95",7,343,63.6061604750146,0.391713236824457,18,71.6,0.588099738505069,8044.40235595086,1374.45545721558,"151",0,3,12.242774566474,33
"167","FEE71",12,1831,601.481992978802,6.23347217799415,4.6,74.8,0.668116323301512,8031.91905943894,1363.17147639288,"135",3,6,NA,9.71428571428571
"168","FEE75",6,702,130.155916115196,1.87044448179096,5.25,74.5,0.704021247771181,8032.02473363929,1364.04437120923,"135",0,2,NA,19.6666666666667
"169","FEEDE",10,489,352.114916957282,1.99817459959675,4.66666666666667,75,0.671714693428881,8032.22101038456,1363.41207923301,"135",5,6,NA,9
"170","FEN90",13,332,40.84120393681,0.826906810568019,25,74.5,0.533192032219485,8018.4345997251,1362.26966934669,"133",2,8,14.0681818181818,33.6666666666667
"171","FID86",7,752,197.799375051018,3.08938375359728,7.6,73.6,0.618539536831919,8035.86263377929,1362.66069886019,"136",0,1,NA,13.5
"172","FLG98",16,918,138.72840095649,1.92739524344272,19.3571428571429,71.25,0.672918705192496,8043.07968107043,1368.89481232334,"144",0,8,12.7466918714556,31.5555555555556
"173","FOP97",5,206,34.4726714848003,0.312440333647155,25.6666666666667,68.6666666666667,0.659155313457941,8043.79145378706,1369.53358774672,"144",0,1,12.2285714285714,87
"174","FRO93",4,110,18.501065093793,0.154328256310877,3,74,0.646149602251203,8042.11187971956,1368.31861263004,"150",0,1,12.3695652173913,2
"175","FRT07",10,515,69.9822589916555,2.49209161265006,10.4285714285714,73.3333333333333,0.682115203388112,8033.32757917292,1361.14280526015,"144",1,5,23.0428571428571,29.6666666666667
"176","FTH03",7,190,25.573704736014,0.413684243393683,7.5,NA,0.536540067700568,8017.03166726044,1363.82013324737,"135",1,2,10.75,10.3333333333333
"177","FUL83",10,772,186.744316113445,0.861819351659215,10.125,74.5714285714286,0.507553093459312,8041.60146621528,1378.13039375742,"153",2,5,12.3658536585366,41.8333333333333
"178","FUL85",8,513,130.997839676722,0.534707213019828,10.1666666666667,74.6666666666667,0.487547831589189,8042.31488943793,1378.62621350404,"153",0,3,NA,55.75
"179","FUL86",16,857,200.117234102026,0.771910024104062,15.3076923076923,73.5384615384615,0.487649370927217,8042.51798636354,1378.92974241034,"153",3,8,NA,34.3333333333333
"180","FUL87",11,557,126.919950628981,0.523691559591021,14.25,73.875,0.508302436578647,8042.32672801665,1377.48469911671,"153",3,6,11.1671924290221,38.7142857142857
"181","FUL89",11,399,97.135826301746,0.382396821059077,17.4285714285714,72.7142857142857,0.508900251757824,8042.93922477063,1377.7072750496,"153",5,7,12.4138972809668,33.5
"182","FUL93",16,717,151.565225303628,0.786316432885845,19.2857142857143,72.6428571428571,0.477732906077357,8042.3574022718,1378.87239191296,"153",1,7,11.47983014862,39.125
"183","GAL85",12,1087,188.158069221983,1.59911969222658,19.6,72,0.576349650726444,8044.79625262745,1370.94079837903,"144",3,7,NA,38.875
"184","GAL89",12,606,101.261655743458,0.781910203496188,24.5555555555556,71.1111111111111,0.620336363341311,8044.1717208193,1371.13609213848,"144",1,5,11.4512195121951,51.5
"185","GEC95",18,306,52.4551399786564,0.0895192560085151,3.0625,74.8,0.291208396746231,8036.71541192593,1387.32051869409,"152",2,9,3.76623376623377,6.2
"186","GIN93",14,1264,158.990347461873,5.12217534109034,41.5833333333333,71.9166666666667,0.704210285877858,8037.64832348264,1364.84574448372,"147",3,7,16.1976744186047,88.25
"187","GL375",11,995,168.899773901225,0.912903184933723,4.33333333333333,74,0.569358241891824,8040.0883139848,1378.21892406001,"157",3,5,10.8551724137931,6.83333333333333
"188","GLA69",13,1227,480.404050168972,2.63618990228994,4.22222222222222,74,0.589517332426032,8042.10528374859,1377.96140529194,"157",5,9,NA,23.4
"189","GLASS",16,466,353.825219168734,1.97884506696251,3,74.3333333333333,0.629717358873373,8041.30729941932,1377.62546455784,"157",1,7,NA,3.875
"190","GNB07",10,821,107.234084089991,4.11527809918532,39.25,66.5,0.708380821847221,8037.5861925153,1363.27950251056,"147",1,3,15.4217171717172,108.75
"191","GOD94",17,1273,191.704204476874,6.8840089558688,38,70.7692307692308,0.66934244104764,8033.58094762307,1361.6513143578,"143",5,12,NA,59.6923076923077
"192","GOD97",18,1248,264.18097777664,13.3295131300211,37.9375,70.375,0.623820115153824,8039.44835013675,1358.02795994677,"143",3,11,24.0684410646388,56.8333333333333
"193","GRA02",7,481,72.0900676727981,2.99308623266764,10.6,72.8,0.697164976746055,8035.18333686078,1363.21326741855,"130",0,3,22.0352941176471,55.5
"194","GRA93",15,1261,208.173089002478,7.30242877387548,17.1666666666667,73.4,0.70259001083156,8034.39330342006,1363.22309315567,"130",4,8,NA,62
"195","GRA95",5,278,49.5608148476357,1.31957489127365,21,73,0.671537998675652,8035.53957142596,1364.97165422981,"130",0,1,26.1571428571429,82.5
"196","GRA96",9,722,97.9072971744788,3.09435797373815,17.1428571428571,72.8,0.712328511838543,8036.53775707752,1363.01953332909,"130",0,2,19.3857868020305,67.6666666666667
"197","GRA98",15,1373,197.47191118816,7.88039913565196,11.2307692307692,73.7,0.710190056092724,8037.0531719507,1363.12058057775,"130",1,6,18.6571428571429,54
"198","GRA99",9,743,111.684913278631,4.5381431448742,13.1428571428571,73.3333333333333,0.716040950714352,8035.76436127494,1364.01610752447,"130",1,3,24.4821428571429,58.25
"199","GRC76",12,1614,414.022281497062,7.35543194207257,15.5555555555556,73.8333333333333,0.629041517210134,8036.3087457722,1362.94954558158,"140",2,6,20.5226666666667,35.5714285714286
"200","GRE68",12,1258,534.672937482354,5.24600648454636,11.7142857142857,74.5,0.667957461608401,8034.37088579085,1363.28644957118,"140",6,7,NA,27.875
"201","GRE72",14,2082,629.853528301378,9.08856763796112,14,73.8571428571429,0.661062447337299,8035.93891853776,1364.03383004379,"140",4,7,NA,30
"202","GRE73",9,1177,276.254145752751,4.55689845518918,13.2857142857143,74.2,0.66898252831008,8035.48324085169,1363.35976718817,"140",2,4,NA,46.2
"203","GREET",12,402,327.242013210039,1.75958839472747,8,NA,0.695316776535976,8035.26527507755,1364.40509199131,"140",6,8,NA,24.3333333333333
"204","GYP07",11,681,84.3780691686847,2.76853095435348,11.875,73.625,0.659156264604762,8027.84512364851,1363.16642218997,"140",1,4,16.9483394833948,28.6
"205","HAL90",21,1539,200.600215852977,3.88030706210905,17.2105263157895,74,0.537105750998815,8015.89633255119,1364.14424088097,"133",5,9,14.959100204499,33.3
"206","HAL94",9,688,93.9724704622617,2.19154357613039,24.1428571428571,73.8333333333333,0.63215824920246,8026.17754607603,1362.14080605241,"133",2,5,21.7371794871795,39.5
"207","HAR82",13,1806,362.132348785558,5.74078867972614,15.5454545454545,72.7777777777778,0.658815689237148,8038.68283990949,1367.99563556827,"155",2,7,NA,24.375
"208","HED01",17,1133,153.538393690685,2.8444564198867,43,66.7333333333333,0.660893398711367,8043.42539179738,1369.93225818129,"147",2,8,12.3103448275862,76.6666666666667
"209","HED12",4,157,14.5387313365571,0.357682268542849,28.5,68.5,0.659850654952282,8043.22132079308,1370.24185135293,"147",0,1,8.92424242424242,103.5
"210","HIC84",15,1436,258.410478872064,2.64203528394361,18.9230769230769,72.5,0.624061351396396,8042.88397187414,1368.63284840486,"147",6,11,10.0608695652174,54.3333333333333
"211","HIC88",16,1154,181.707128424501,1.95987052980687,30,72.4615384615385,0.643422875723998,8042.65186760662,1369.25417214614,"147",6,12,11.0338266384778,60.5384615384615
"212","HIC89",8,312,50.0526773694937,0.520718850915973,19.6,72,0.664708678935719,8041.69943787687,1368.16661264913,"147",3,5,11.2393617021277,95.6666666666667
"213","HIR03",12,414,58.909488112852,0.401194410444992,13.5,72.7,0.441386572916125,8042.70418687197,1380.28630555955,"153",2,9,7.64406779661017,27.7
"214","HNY12",5,68,13.6395594858743,0.569131898183424,5,75,0.645150056263943,8040.91042224178,1358.85709060185,"139",0,1,37.1111111111111,9
"215","HOL00",10,645,78.5108924693753,1.0077850937736,54.375,69.625,0.640616897830938,8043.03960167867,1372.39698900641,"147",1,4,13.5087719298246,116
"216","HOL94",13,899,121.390033453723,1.29531104765714,44.7,71.5,0.635819158130324,8041.70243600228,1373.52747054821,"147",3,4,13.7295081967213,121.2
"217","HOL97",15,1196,155.000465810974,2.32900352956031,50.4615384615385,70.3076923076923,0.65940958124483,8041.72137469524,1371.6947457389,"147",0,7,15.8423236514523,82
"218","HON00",8,474,75.3781223610972,1.67289875343156,22.5,73,0.606992357605914,8021.84583068789,1364.28028814239,"138",2,3,20,50.75
