"","id","year","degree","strength","eigen","mat","end","start","death","DeathYear","BirthYear","lastSeen","matSize","HRO2","LifetimeE","LifetimeN","centroid","sex","matriline"
"3928","SAFIO",2004,-0.77140436564092,-0.660138409120996,-0.942096807033609,0,5,4,0,NA,2000,2004,NA,-0.369212324990127,1.01821600561507,-1.85210166322364,4696.4160964499,1,"184"
"3929","SAM94",1998,0.490774744870216,-0.0612960563649665,1.5569254719015,9,5,4,0,2016,1994,2016,NA,0.550674101245987,-0.996291067807104,0.0832162451699102,4698.20106387433,1,"139"
"3930","SAM94",1999,0.450059289692438,-0.15354237378479,0.0927325177408258,10,6,5,0,2016,1994,2016,0.535959009179542,0.589989013230994,-0.922593923785318,0.212792719008127,4699.11390275815,1,"139"
"3931","SAM94",2000,-0.140314810385352,-0.24430395678852,0.23489939696871,10,7,6,0,2016,1994,2016,0.535959009179542,0.172968561824447,-1.1140165825442,0.379652760882475,4699.20034356434,1,"139"
"3932","SAM94",2001,-0.0385261724409052,-0.150948847795064,1.34661754698081,11,8,7,0,2016,1994,2016,0.80773443818857,0.609334563267506,-0.837699786485713,0.429162771912833,4700.49301298704,1,"139"
"3933","SAM94",2002,0.124335648270209,-0.076077409626395,0.819376082391971,10,9,8,0,2016,1994,2016,NA,-0.35390697297286,-1.52764481971779,0.547314349481184,4698.44552589214,1,"139"
"3934","SAM94",2003,-0.384607541452023,-0.361588820840812,0.269771210060165,11,10,9,0,2016,1994,2016,0.535959009179542,0.476220010923816,-1.21641300279056,0.446146114308613,4699.13546049106,1,"139"
"3935","SAM94",2004,-0.445680724218691,-0.393037698896363,0.268471671682694,11,11,10,0,2016,1994,2016,0.535959009179542,0.446558014491081,-1.29991840761337,0.474112699292018,4698.95436197513,1,"139"
"3936","SAM94",2005,-0.364249813863134,-0.300223994096534,0.690701644263599,10,12,11,0,2016,1994,2016,NA,0.137877185312035,-1.49816315487815,0.483403868090514,4698.24568194605,1,"139"
"3937","SAM94",2006,-0.404965269040912,-0.447499404522528,0.142137776315075,10,13,12,0,2016,1994,2016,0.80773443818857,0.852315381027082,-1.03110130818237,0.459093323718722,4699.90350560776,1,"139"
"3938","SAM94",2007,-0.689973455285363,-0.418261051723934,0.242983725940848,9,14,13,0,2016,1994,2016,0.535959009179542,0.358307850579842,-0.930657099811326,0.681235445394904,4701.36993775424,1,"139"
"3939","SAM94",2008,-1.19891664500759,-0.489574767246737,0.561743019833086,9,15,14,0,2016,1994,2016,0.80773443818857,-0.042440077075783,-1.32324455861823,0.363486760250637,4698.32561901268,1,"139"
"3940","SAM94",2009,-1.21927437259648,-0.6324519029464,-0.107428501839312,10,16,15,0,2016,1994,2016,0.80773443818857,0.429330320482827,-1.08359278393682,0.815392685650135,4701.44312713549,1,"139"
"3941","SAM94",2010,-1.30070528295204,-0.645646552711493,-0.12891363878441,8,17,16,0,2016,1994,2016,NA,-0.596251348426536,-1.07690291195107,0.0199596565664002,4697.58566514507,1,"139"
